연도,태풍명,발생기간,인명피해 규모 전국(전남)_명,재산피해규모 전국(전남)_억 원,복구액 전국(전남)_억 원
2005,나비,2005-09-06~2005-09-18,6(0),1385(0.04),2595(3)
2006,산산,2006-09-16~2006-09-18,6(0),109(0.2),152(0.2)
2007,나리,2007-09-13~2007-09-18,15(2),1592(620),3636(1560)
2010,덴무,2010-08-09~2010-08-10,1(0),34(11),72(18)
2010,곤파스,2010-09-01~2010-09-03,6(0),1674(70),1793(143)
2010,말로,2010-09-05~2010-09-07,0(0),16(0.2),4(0.06)
2011,무이파,2011-08-06~2011-08-10,1(0),2183(851),4617(1654)
2012,카눈,2012-07-17~2012-07-19,1(0),15(4),35(8)
2012,"볼라벤, 덴빈",2012-08-25~2012-08-30,11(3),6365(3713),10113(6217)
2012,산바,2012-09-14~2012-09-17,2(0),3657(322),8415(559)
2014,나크리,2014-08-01~2014-08-04,0(0),50(30),101(75)
2016,차바,2016-10-04~2016-10-05,6(0),2149(67),5049(108)
2018,솔릭,2018-08-23~2018-08-24,0(0),93(77),382(342)
2018,콩레이,2018-10-05~2018-10-06,2(0),549(84),2361(113)
2019,다나스,2019-07-19~2019-07-20,0(0),6(3),21(11)
2019,링링,2019-09-06~2019-09-08,4(0),333(77),1590(719)
2019,타파,2019-09-21~2019-09-22,1(1),23(12),183(85)
2019,미탁,2019-10-02~2019-10-04,15(0),1677(107),9388(166)
2020,바비,2020-08-26~2020-08-27,0(0),36(20),110(61)
2020,"마이삭, 하이선",2020-09-02~2020-09-07,12(0),2214(21),6063(415)
2021,오마이스,2021-08-22~2021-08-24,0(0),211(0.52),1049(0.17)
2022,힌남노,2022-09-03~2022-09-07,0(0),2440(27),7445(385)
2023,카눈,2023-08-09~2023-08-11,0(0),557(9),1106(26)
